site_name,api_number,operator,county,state,latitude,longitude,job_codes,well_type,status,source
Pelican Unit 104H,42301330350000,Apache Corporation,Loving,Texas,31.724952,-103.633042,,,,FracFocus
Mont Blanc 202AH,42389357750000,Apache Corporation,Reeves,Texas,31.214237,-103.887203,,,,FracFocus
June Tippett 1213 HZ 5HM,42329414150000,Apache Corporation,Midland,Texas,31.705284,-102.179587,,,,FracFocus
Mont Blanc 203CH,42389357770000,Apache Corporation,Reeves,Texas,31.214236,-103.885075,,,,FracFocus
Pelican Unit 108HR,42301333170000,Apache Corporation,Loving,Texas,31.723553,-103.630923,,,,FracFocus
Hullabaloo #2H,42041320120000,Apache Corporation,Brazos,Texas,30.558862,-96.418835,,,,FracFocus
June Tippett 1213 HZ 7H,42329414170000,Apache Corporation,Midland,Texas,31.70572,-102.177173,,,,FracFocus
June Tippett 1213 HZ 6HS,42329414160000,Apache Corporation,Midland,Texas,31.70524,-102.179452,,,,FracFocus
June Tippett 1213 HZ 2HS,42329414120000,Apache Corporation,Midland,Texas,31.70436,-102.182367,,,,FracFocus
June Tippett 1213 HZ 3HM,42329414130000,Apache Corporation,Midland,Texas,31.704394,-102.182228,,,,FracFocus
June Tippett 1213 HZ 4HS,42329414140000,Apache Corporation,Midland,Texas,31.704429,-102.182089,,,,FracFocus
Mont Blanc 103CH,42389357760000,Apache Corporation,Reeves,Texas,31.214236,-103.885171,,,,FracFocus
State Bullseye 101AH,42389357590200,Apache Corporation,Reeves,Texas,30.95834,-103.624978,,,,FracFocus
June Tippett 1213 HZ 8HS,42329414180000,Apache Corporation,Midland,Texas,31.705319,-102.179711,,,,FracFocus
Lynch A HZ 23HS,42329414510000,Apache Corporation,Midland,Texas,31.730896,-102.168923,,,,FracFocus
Lynch A HZ 21HS,42329414490000,Apache Corporation,Midland,Texas,31.730843,-102.16914,,,,FracFocus
Lynch A HZ 22HS,42329414500000,Apache Corporation,Midland,Texas,31.730896,-102.169031,,,,FracFocus
Cypress State 501AH,42389359650000,Apache Corporation,Reeves,Texas,31.296715,-103.975153,,,,FracFocus
"Lynch, June T. 37 #2",42329339100000,Apache Corporation,Midland,Texas,31.737492,-102.1892,,,,FracFocus
Lynch A HZ 18HS,42329414480000,Apache Corporation,Midland,Texas,31.729017,-102.172744,,,,FracFocus
Lynch A HZ 19HS,42329414520000,Apache Corporation,Midland,Texas,31.729044,-102.172636,,,,FracFocus
Lynch A HZ 20HS,42329414530000,Apache Corporation,Midland,Texas,31.72907,-102.172528,,,,FracFocus
Mt. Hunter 101AH,42389357480000,Apache Corporation,Reeves,Texas,31.052246,-103.751569,,,,FracFocus
Cypress State 401AH,42389359670000,Apache Corporation,Reeves,Texas,31.296715,-103.975057,,,,FracFocus
Mt. Hunter 102CH,42389357500000,Apache Corporation,Reeves,Texas,31.052261,-103.751663,,,,FracFocus
Huckleberry 101CH,42389354000000,Apache Corporation,Reeves,Texas,31.298073,-103.921102,,,,FracFocus
