site_name,api_number,operator,county,state,latitude,longitude,job_codes,well_type,status,source
TXL South Unit #5210H,42135407020000,Apache Corporation,Ector,Texas,31.80197,-102.70534,,,,FracFocus
Txl North Unit 1017,42135402600000,Apache Corporation,Ector,Texas,31.87181,-102.71749,,,,FracFocus
Holley 1208 1,42383369750000,Apache Corporation,Reagan,Texas,31.32203,-101.63464,,,,FracFocus
Txl North Unit 801,42135373850000,Apache Corporation,Ector,Texas,31.86768,-102.71381,,,,FracFocus
Srh `16` 1614,42383368440000,Apache Corporation,Reagan,Texas,31.44571,-101.47995,,,,FracFocus
Kloh 44,42227364530000,Apache Corporation,Howard,Texas,32.09025,-101.43213,,,,FracFocus
Glass 15 1,42173335370000,Apache Corporation,Glasscock,Texas,31.84235,-101.50591,,,,FracFocus
Bartz 19 16-19H,42483330160000,Apache Corporation,Wheeler,Texas,35.459747,-100.031525,,,,FracFocus
Bell 22 2,42173336860000,Apache Corporation,Glasscock,Texas,31.82149,-101.50355,,,,FracFocus
Txl South Unit 5115H,42135405890000,Apache Corporation,Ector,Texas,31.81688,-102.71644,,,,FracFocus
Srh 13 1316,42383368720000,Apache Corporation,Reagan,Texas,31.46989,-101.44432,,,,FracFocus
Squire 4 1,42173338440000,Apache Corporation,Glasscock,Texas,32.00288,-101.47405,,,,FracFocus
Dean C S `A` 264H,42079332020000,Apache Corporation,Cochran,Texas,33.51078,-102.73525,,,,FracFocus
Srh `16` 1616,42383369920000,Apache Corporation,Reagan,Texas,31.45657,-101.46775,,,,FracFocus
Txl South Unit 2905,42135406160000,Apache Corporation,Ector,Texas,31.84832,-102.68162,,,,FracFocus
Stiles 68 19-68H,42483330190000,Apache Corporation,Wheeler,Texas,35.430408,-100.056628,,,,FracFocus
Cc 3602,42461363960000,Apache Corporation,Upton,Texas,31.54976,-102.02114,,,,FracFocus
Txl South Unit 5713,42135406170000,Apache Corporation,Ector,Texas,31.81996,-102.68554,,,,FracFocus
Edith 8 1,42173338330000,Apache Corporation,Glasscock,Texas,31.8492,-101.54924,,,,FracFocus
Bluegill 42 1,42173337860000,Apache Corporation,Glasscock,Texas,31.75303,-101.636,,,,FracFocus
John Luthi 392 #4H,42357329520000,Apache Corporation,Ochiltree,Texas,36.159094,-100.710783,,,,FracFocus
McLain 98 #4H,42357329660000,Apache Corporation,Hemphill,Texas,36.148711,-100.822094,,,,FracFocus
Stiles 16 1016H,42483331020000,Apache Corporation,Wheeler,Texas,35.47105,-100.09058,,,,FracFocus
Srh `13` 1327,42383369440000,Apache Corporation,Reagan,Texas,31.46718,-101.45623,,,,FracFocus
Blain Lovel A III 2,42123314590000,Apache Corporation,DeWitt,Texas,28.98192,-97.30212,,,,FracFocus
Txl North Unit 807,42135374890000,Apache Corporation,Ector,Texas,31.87076,-102.72505,,,,FracFocus
Txl North Unit 974,42135389800000,Apache Corporation,Ector,Texas,31.86627,-102.7217,,,,FracFocus
Connell Cowden 48 4,42461367440000,Apache Corporation,Upton,Texas,31.527489,-102.00429,,,,FracFocus
Red Snapper - Neal 1401,42173338540000,Apache Corporation,Glasscock,Texas,31.97842,-101.43181,,,,FracFocus
SRH-1220,42383374750000,Apache Corporation,Reagan,Texas,31.45545,-101.43207,,,,FracFocus
Sterling W R 19,42415342420000,Apache Corporation,Scurry,Texas,32.59091,-101.05632,,,,FracFocus
Gray 24 2,42173338140000,Apache Corporation,Glasscock,Texas,31.826962,-101.46484,,,,FracFocus
SRH-1219,42383374730000,Apache Corporation,Reagan,Texas,31.45567,-101.43532,,,,FracFocus
TXLNU 1001,42135394490000,Apache Corporation,Ector,Texas,31.881384,-102.71652,,,,FracFocus
His Blessing 35 1,42173336080000,Apache Corporation,Glasscock,Texas,31.9103,-101.51557,,,,FracFocus
Buchanan 3111-2,42227364230000,Apache Corporation,Howard,Texas,32.365364,-101.342716,,,,FracFocus
Mackerel 1 3,42173338840000,Apache Corporation,Glasscock,Texas,31.97201,-101.39555,,,,FracFocus
Moore Kathleen J `B` 1,42371332800000,Apache Corporation,Pecos,Texas,31.13633,-103.16299,,,,FracFocus
Mcclure R O `B` 11,42415345930000,Apache Corporation,Scurry,Texas,32.59911,-101.07504,,,,FracFocus
HE Cummins 20,42135405770000,Apache Corporation,Ector,Texas,32.006086,-102.69483,,,,FracFocus
Weatherly #3-1H,42483331250000,Apache Corporation,Wheeler,Texas,35.273068,-100.110236,,,,FracFocus
ASAU 1004,42445303040000,Apache Corporation,Terry,Texas,32.96006,-102.27724,,,,FracFocus
SRH 13 1320,42383369350000,Apache Corporation,Reagan,Texas,31.479866,-101.45179,,,,FracFocus
Srh `12` 1217,42383371130000,Apache Corporation,Reagan,Texas,31.46271,-101.44888,,,,FracFocus
Walker Farms 14 3,42173338190000,Apache Corporation,Glasscock,Texas,31.84487,-101.49896,,,,FracFocus
NMU#3229bh,30017672240000,Apache Corporation,Crane,Texas,31.468871,-102.38346,,,,FracFocus
Sterling WR #9,42415018740000,Apache Corporation,Scurry,Texas,32.59,-101.05,,,,FracFocus
Cowden B 7,42461371490000,Apache Corporation,Upton,Texas,31.560373,-101.91351,,,,FracFocus
Tigershark 53a 4,42173339170000,Apache Corporation,Glasscock,Texas,31.99439,-101.35626,,,,FracFocus
Phillips `57` 2,42173339410000,Apache Corporation,Glasscock,Texas,31.99458,-101.38569,,,,FracFocus
Stiles 3 16-3H,42483329740000,Apache Corporation,Wheeler,Texas,35.263879,-100.024107,,,,FracFocus
North McElroy Unit #32368H,42103357730000,Apache Corporation,Crane,Texas,31.47327,-102.39754,,,,FracFocus
Mackerel 24b 2,42173339370000,Apache Corporation,Glasscock,Texas,31.96676,-101.40923,,,,FracFocus
TXLNU 825,42135374330000,Apache Corporation,Ector,Texas,31.91923,-102.73911,,,,FracFocus
Srh `13` 1325,42383369640000,Apache Corporation,Reagan,Texas,31.47142,-101.44764,,,,FracFocus
Stiles 3 #1103,42483326670000,Apache Corporation,Wheeler,Texas,35.2726,-100.02507,,,,FracFocus
Wahoo 20 1,42173336920000,Apache Corporation,Glasscock,Texas,31.82088,-101.53946,,,,FracFocus
Ladyfish 43 #1,42173337850000,Apache Corporation,Glasscock,Texas,31.73955,-101.629,,,,FracFocus
Sterling W R 18,42415331850000,Apache Corporation,Scurry,Texas,32.59567,-101.05893,,,,FracFocus
Cummins H E 20,42135405780000,Apache Corporation,Ector,Texas,32.0048,-102.69311,,,,FracFocus
Txl South Unit 5116H,42135407030000,Apache Corporation,Ector,Texas,31.81912,-102.7093,,,,FracFocus
ASAU 1201,42165002500000,Apache Corporation,Terry,Texas,32.95782,-102.27975,,,,FracFocus
Tigershark 55 2,42173338560000,Apache Corporation,Glasscock,Texas,31.97749,-101.37353,,,,FracFocus
Sharptooth 193 1,42173338520000,Apache Corporation,Glasscock,Texas,32.03716,-101.33341,,,,FracFocus
Stiles #17-18H,42483330950000,Apache Corporation,Wheeler,Texas,35.2823,-100.02411,,,,FracFocus
North McElroy #4415BH,42103357800000,Apache Corporation,Crane,Texas,31.445289,-102.3696,,,,FracFocus
Fuller 43 1,42173338150000,Apache Corporation,Glasscock,Texas,32.00041,-101.49948,,,,FracFocus
TXLNU 829,42135374370000,Apache Corporation,Ector,Texas,31.92205,-102.74201,,,,FracFocus
TXLNU 833,42135374410000,Apache Corporation,Ector,Texas,31.92736,-102.75278,,,,FracFocus
Srh `13` 1326,42383369910000,Apache Corporation,Reagan,Texas,31.46575,-101.46388,,,,FracFocus
Loyd #1,42459300370000,Apache Corporation,Upshur,Texas,32.72262,-94.92937,,,,FracFocus
Nix 16 2,42173336890000,Apache Corporation,Glasscock,Texas,31.83424,-101.53054,,,,FracFocus
University Lands 31 #1H,42103357920000,Apache Corporation,Crane,Texas,31.46925,-102.40376,,,,FracFocus
Brown #7-59H,42483331480000,Apache Corporation,Wheeler,Texas,35.240534,-100.040217,,,,FracFocus
WR Sterling 16,42415331870000,Apache Corporation,Scurry,Texas,32.59,-101.06,,,,FracFocus
Cowden E W 28,42495324800000,Apache Corporation,Winkler,Texas,31.78677,-103.09264,,,,FracFocus
Slator D #7,42135045960000,Apache Corporation,Ector,Texas,31.91494,-102.72675,,,,FracFocus
TXL North Unit #336,42135070050000,Apache Corporation,Ector,Texas,31.92828,-102.74868,,,,FracFocus
Stiles 4 16-4H,42483331280000,Apache Corporation,Wheeler,Texas,35.273444,-100.041918,,,,FracFocus
Tigershark 54a 3,42173339440000,Apache Corporation,Glasscock,Texas,31.9845,-101.36284,,,,FracFocus
North McElroy Unit #3231,42103320870000,Apache Corporation,Crane,Texas,31.46966,-102.37829,,,,FracFocus
Mackerel 2 2,42173339380000,Apache Corporation,Glasscock,Texas,31.96975,-101.36829,,,,FracFocus
Bakke Unit 147,42003406220000,Apache Corporation,Andrews,Texas,32.275019,-102.50313,,,,FracFocus
Nix 16 3,42173336900000,Apache Corporation,Glasscock,Texas,31.82785,-101.52419,,,,FracFocus
Duff 7 1,42173338070000,Apache Corporation,Glasscock,Texas,31.980184,-101.50597,,,,FracFocus
Shelton 3-8H,35149215670000,Apache Corporation,Wheeler,Texas,35.436972,-99.335833,,,,FracFocus
Stiles #4-24,42483324810000,Apache Corporation,Wheeler,Texas,35.486917,-100.0748,,,,FracFocus
Xit Unit 50,42079019720000,Apache Corporation,Cochran,Texas,33.52019,-102.83922,,,,FracFocus
TXL South Unit #2906,42135408030000,Apache Corporation,Ector,Texas,31.84413,-102.67968,,,,FracFocus
Cook 21 2,42173336830000,Apache Corporation,Glasscock,Texas,31.823955,-101.52711,,,,FracFocus
Hardy 18 1,42173338930000,Apache Corporation,Glasscock,Texas,31.845811,-101.45036,,,,FracFocus
Stiles #11-4,42483325930000,Apache Corporation,Wheeler,Texas,35.445833,-100.06388,,,,FracFocus
Books E D 1 2,42173335330000,Apache Corporation,Glasscock,Texas,31.870781,-101.48896,,,,FracFocus
McGarraugh G et al 138#7H,42357329730000,Apache Corporation,Ochiltree,Texas,36.085236,-100.919906,,,,FracFocus
North McElroy Unit #4555BH,42103357960000,Apache Corporation,Crane,Texas,31.43501,-102.36757,,,,FracFocus
Hartley 38 #2,42173335620000,Apache Corporation,Glasscock,Texas,31.892637,-101.50895,,,,FracFocus
Dorado 18 1,42173336970000,Apache Corporation,Glasscock,Texas,31.829614,-101.55073,,,,FracFocus
Bonefish 40 #1,42173338880000,Apache Corporation,Glasscock,Texas,32.028946,-101.486378,,,,FracFocus
Swordfish 37 1,42173339970000,Apache Corporation,Glasscock,Texas,32.04204,-101.42397,,,,FracFocus
Palometa 44 #1,42173338630000,Apache Corporation,Glasscock,Texas,32.00842,-101.49158,,,,FracFocus
Runner 17 1,42173339800000,Apache Corporation,Glasscock,Texas,31.95843,-101.4815,,,,FracFocus
North McElroy Unit #4164 BH,42103357780000,Apache Corporation,Crane,Texas,31.45674,-102.38772,,,,FracFocus
Mallet Unit Area 161,42219011940000,Apache Corporation,Hockley,Texas,33.46278,-102.58743,,,,FracFocus
TYLER 55 #3H,42483331490000,Apache Corporation,Wheeler,Texas,35.240425,-100.002026,,,,FracFocus
Goodner 22 1,42173337300000,Apache Corporation,Glasscock,Texas,31.82509,-101.50447,,,,FracFocus
Txl South Unit 4103,42135408040000,Apache Corporation,Ector,Texas,31.84102,-102.67963,,,,FracFocus
Books E D 1 3,42173337380000,Apache Corporation,Glasscock,Texas,31.879603,-101.4806,,,,FracFocus
HG Adams 138-2H,42357329910000,Apache Corporation,Ochiltree,Texas,36.099711,-100.70918,,,,FracFocus
TXLNU 1023,42135401100000,Apache Corporation,Ector,Texas,31.88771,-102.73608,,,,FracFocus
Brenda 8 1,42173339570000,Apache Corporation,Glasscock,Texas,31.84203,-101.54519,,,,FracFocus
Stiles 4 10-4,42483324770000,Apache Corporation,Wheeler,Texas,35.45,-100.06972,,,,FracFocus
Robert Ut 2218,42501311750000,Apache Corporation,Yoakum,Texas,33.02992,-102.9702,,,,FracFocus
Stiles 4 9-4,42483323740000,Apache Corporation,Wheeler,Texas,35.4575,-100.06944,,,,FracFocus
TXL South Unit #3748H,42135407790000,Apache Corporation,Ector,Texas,31.82483,-102.71068,,,,FracFocus
Nester 10 1,42173339610000,Apache Corporation,Glasscock,Texas,31.99167,-101.45545,,,,FracFocus
HE Cummins 18,42135405760000,Apache Corporation,Ector,Texas,32.003,-102.707,,,,FracFocus
Txl South Unit 6313,42135408750000,Apache Corporation,Ector,Texas,31.82095,-102.66843,,,,FracFocus
Neal 38 1,42461369440000,Apache Corporation,Upton,Texas,31.5334,-102.03203,,,,FracFocus
Rooster 17 1,42173339870000,Apache Corporation,Glasscock,Texas,31.96528,-101.4748,,,,FracFocus
Sterling W R 6 R,42415329700000,Apache Corporation,Scurry,Texas,32.5961,-101.05536,,,,FracFocus
Sterling W R 17,42415331860000,Apache Corporation,Scurry,Texas,32.59532,-101.05309,,,,FracFocus
Glass 15 2,42173340520000,Apache Corporation,Glasscock,Texas,31.840836,-101.51363,,,,FracFocus
Jines 100 #2H,42357329990000,Apache Corporation,Ochiltree,Texas,36.144694,-100.866525,,,,FracFocus
Neal 48 1,42173340600000,Apache Corporation,Glasscock,Texas,32.020253,-101.42765,,,,FracFocus
University Lands 42 #1HR,42103358310000,Apache Corporation,Crane,Texas,31.44152,-102.40065,,,,FracFocus
Glass 3 2,42173340260000,Apache Corporation,Glasscock,Texas,31.861553,-101.51598,,,,FracFocus
Musgrove 9-1,42227364240000,Apache Corporation,Howard,Texas,32.36269,-101.37271,,,,FracFocus
Welder Ranch #22,42409327020000,Apache Corporation,San Patricio,Texas,27.891617,-97.667282,,,,FracFocus
Huitt 25 2,42173337200000,Apache Corporation,Glasscock,Texas,31.934817,-101.49628,,,,FracFocus
Ballenger 4101,42173336520000,Apache Corporation,Glasscock,Texas,31.906051,-101.45428,,,,FracFocus
Books E D 11 #3H,42173337410000,Apache Corporation,Glasscock,Texas,31.848896,-101.499699,,,,FracFocus
Riley 4802,42173337650000,Apache Corporation,Glasscock,Texas,31.89095,-101.48268,,,,FracFocus
Boles 2-19H,42483331600000,Apache Corporation,Wheeler,Texas,35.473183,-100.202947,,,,FracFocus
North McElroy #2727BH,42103357790000,Apache Corporation,Crane,Texas,31.49582,-102.37403,,,,FracFocus
TXL South Unit #6118,42135408880000,Apache Corporation,Ector,Texas,31.82258,-102.67414,,,,FracFocus
ASAU #2307,42165002230000,Apache Corporation,Gaines,Texas,32.9433,-102.30061,,,,FracFocus
ASAU #1304,42165001500000,Apache Corporation,Gaines,Texas,32.95428,-102.30061,,,,FracFocus
Weaver 23 4,42173341010000,Apache Corporation,Glasscock,Texas,31.83441,-101.48225,,,,FracFocus
Mckinney Warner 1,42003406200000,Apache Corporation,Andrews,Texas,32.28795,-102.51501,,,,FracFocus
UNIV O-6,42103333590000,Apache Corporation,Crane,Texas,31.46848,-102.42089,,,,FracFocus
Mackerel 24a 1,42173339920000,Apache Corporation,Glasscock,Texas,31.95915,-101.41015,,,,FracFocus
Adams 26 3,42173341000000,Apache Corporation,Glasscock,Texas,31.807174,-101.48666,,,,FracFocus
McGarraugh 154 #1,42393313590000,Apache Corporation,Roberts,Texas,36.05579,-100.9137,,,,FracFocus
Bishop A6,42415334760000,Apache Corporation,Scurry,Texas,32.65,-101.08,,,,FracFocus
Cathey 2-2,42227364430000,Apache Corporation,Howard,Texas,32.38684,-101.34903,,,,FracFocus
Weber 5,42461365070000,Apache Corporation,Upton,Texas,31.52469,-102.02201,,,,FracFocus
Txl South Unit 5117H,42135407090000,Apache Corporation,Ector,Texas,31.81174,-102.71276,,,,FracFocus
Riley 47 5,42173340780000,Apache Corporation,Harris,Texas,31.882342,-101.49676,,,,FracFocus
KMEU 1321,42235346850000,Apache Corporation,Irion,Texas,31.28,-101.057,,,,FracFocus
McClure 11C,42415103590000,Apache Corporation,Scurry,Texas,32.60006,-101.08622,,,,FracFocus
Keathley 46 1,42173340530000,Apache Corporation,Glasscock,Texas,31.87836,-101.51871,,,,FracFocus
Central Levelland North Unit 540,42079326000000,Apache Corporation,Cochran,Texas,33.635659,-102.63928,,,,FracFocus
Speckled Trout 35 2,42173340020000,Apache Corporation,Glasscock,Texas,32.04229,-101.44185,,,,FracFocus
Frances Gunn #A-71,42227346570000,Apache Corporation,Howard,Texas,32.49266,-101.34796,,,,FracFocus
Txl South Unit 3749,42135408850000,Apache Corporation,Ector,Texas,31.82617,-102.69143,,,,FracFocus
His Blessing 34 1,42173340200000,Apache Corporation,Glasscock,Texas,31.9027,-101.53335,,,,FracFocus
Musgrove 9-2,42227366380000,Apache Corporation,Howard,Texas,32.369141,-101.37218,,,,FracFocus
Riley 3703,42173340770000,Apache Corporation,Glasscock,Texas,31.90789,-101.48801,,,,FracFocus
Stiles 17 1117H,42483331630000,Apache Corporation,Wheeler,Texas,35.281714,-100.034339,,,,FracFocus
North Mcelroy Unit 4005BH,42103035640000,Apache Corporation,Crane,Texas,31.46381,-102.364,,,,FracFocus
Red Snapper Neal 1601,42173341110000,Apache Corporation,Glasscock,Texas,31.96759,-101.46315,,,,FracFocus
KMEU 2822,42235346840000,Apache Corporation,Irion,Texas,31.251814,-101.06968,,,,FracFocus
KMEU 1223,42235346860000,Apache Corporation,Irion,Texas,31.265,-101.048,,,,FracFocus
Grouse 19 1,42173340330000,Apache Corporation,Glasscock,Texas,31.943199,-101.4853,,,,FracFocus
ASAU 1103,42165001220000,Apache Corporation,Terry,Texas,32.95416,-102.27279,,,,FracFocus
ASAU 1405,42165306140000,Apache Corporation,Terry,Texas,32.94717,-102.29824,,,,FracFocus
Dorado 18 3,42173336990000,Apache Corporation,Glasscock,Texas,31.819858,-101.56043,,,,FracFocus
Mcelroy North Unit 4002BH,42103357940000,Apache Corporation,Crane,Texas,31.46177,-102.3687,,,,FracFocus
Lizardfish 27 2,42173341270000,Apache Corporation,Glasscock,Texas,31.80907,-101.49584,,,,FracFocus
Reed 7 2,42227366500000,Apache Corporation,Howard,Texas,32.37835,-101.30226,,,,FracFocus
McLain 99A-3H,42357330100000,Apache Corporation,Ochiltree,Texas,36.146644,-100.856919,,,,FracFocus
Txl D 2,42135054480000,Apache Corporation,Ector,Texas,31.86731,-102.71598,,,,FracFocus
Palometa 44 2,42173340660000,Apache Corporation,Glasscock,Texas,32.01107,-101.48761,,,,FracFocus
Neal 38 2,42461369560000,Apache Corporation,Upton,Texas,31.53515,-102.0252,,,,FracFocus
University 25 A #2,42103333080000,Apache Corporation,Crane,Texas,31.47491,-102.42331,,,,FracFocus
Stiles 1 8-1,42483322420000,Apache Corporation,Wheeler,Texas,35.443333,-100.09277,,,,FracFocus
Levelland Southwest Unit #118H,42079332190000,Apache Corporation,Cochran,Texas,33.53202,-102.72582,,,,FracFocus
Schwartz 36 3,42173340740000,Apache Corporation,Glasscock,Texas,31.91993,-101.50174,,,,FracFocus
Txl South Unit 6314,42135408910000,Apache Corporation,Ector,Texas,31.81532,-102.67229,,,,FracFocus
Stewart 1-1,42227364740000,Apache Corporation,Howard,Texas,32.39001,-101.33318,,,,FracFocus
Sandra 1-19,42483327190000,Apache Corporation,Wheeler,Texas,35.406608,-100.00195,,,,FracFocus
Red Snapper-Neal 1501,42173341100000,Apache Corporation,Glasscock,Texas,31.96977,-101.44086,,,,FracFocus
KMEU 1531,42235346820000,Apache Corporation,Irion,Texas,31.3,-101.047,,,,FracFocus
Books Ed 11 5,42173341720000,Apache Corporation,Glasscock,Texas,31.85228,-101.4923,,,,FracFocus
Roberts Unit 3238,42501312220000,Apache Corporation,Yoakum,Texas,33.01117,-102.96045,,,,FracFocus
Dean C S 'A' #265H,42079332290000,Apache Corporation,Cochran,Texas,33.50609,-102.71954,,,,FracFocus
Barba-Neal 2102,42173340650000,Apache Corporation,Glasscock,Texas,31.959272,-101.46418,,,,FracFocus
TXL South Init #7808,42135408900000,Apache Corporation,Ector,Texas,31.80725,-102.67332,,,,FracFocus
Bishop A1R,42415334740000,Apache Corporation,Scurry,Texas,32.65,-101.08,,,,FracFocus
TXL South Unit #6315,42135408760000,Apache Corporation,Ector,Texas,31.81692,-102.66815,,,,FracFocus
Weaver 23 5,42173341320000,Apache Corporation,Glasscock,Texas,31.83078,-101.49081,,,,FracFocus
University Lands 30#1H,42103358540000,Apache Corporation,Crane,Texas,31.46975,-102.41008,,,,FracFocus
Musgrove 16-1,42227366450000,Apache Corporation,Howard,Texas,32.357,-101.363,,,,FracFocus
TXLNU 789,42135154480000,Apache Corporation,Ector,Texas,31.86775,-102.71579,,,,FracFocus
MT Mitchell #1,42003420220000,Apache Corporation,Andrews,Texas,32.296,-102.531,,,,FracFocus
Books E D 17 3,42173341430000,Apache Corporation,Glasscock,Texas,31.83317,-101.5477,,,,FracFocus
Reed #6-2H,42483332110000,Apache Corporation,Wheeler,Texas,35.333716,-100.014865,,,,FracFocus
Brahaney #194,42501350800000,Apache Corporation,Yoakum,Texas,33.142728,-102.8742,,,,FracFocus
Txl South Unit 8109,42135408890000,Apache Corporation,Ector,Texas,31.80951,-102.6695,,,,FracFocus
Neal 39 4,42461365090000,Apache Corporation,Upton,Texas,31.52478,-102.04419,,,,FracFocus
University O #2,42103328760000,Apache Corporation,Crane,Texas,31.46657,-102.42533,,,,FracFocus
LUCAS 45#2,42173342100000,Apache Corporation,Glasscock,Texas,31.812703,-101.52896,,,,FracFocus
Francys-Neal 2202,42173340630000,Apache Corporation,Glasscock,Texas,31.952131,-101.4446,,,,FracFocus
Dean C S `A` 263H,42079332030000,Apache Corporation,Cochran,Texas,33.527478,-102.73835,,,,FracFocus
His Blessing 34 4,42173342310000,Apache Corporation,Glasscock,Texas,31.91022,-101.53387,,,,FracFocus
WF Sterling #5,42415324580000,Apache Corporation,Scurry,Texas,32.59,-101.06,,,,FracFocus
Stiles 16 11-16H,42483332190000,Apache Corporation,Wheeler,Texas,35.459572,-100.08534,,,,FracFocus
Adams `26` 2,42173340900000,Apache Corporation,Glasscock,Texas,31.810704,-101.47566,,,,FracFocus
RM Noll 2,42227034180000,Apache Corporation,Howard,Texas,32.504429,-101.35439,,,,FracFocus
Weatherly 401 H,42483332180000,Apache Corporation,Wheeler,Texas,35.458527,-100.19111,,,,FracFocus
Mcelroy North Unit 2252BH,42103357930000,Apache Corporation,Crane,Texas,31.49672,-102.35998,,,,FracFocus
RM Noll #1,42227034170000,Apache Corporation,Howard,Texas,32.500271,-101.35456,,,,FracFocus
UNIV 25A-1,42103331540000,Apache Corporation,Crane,Texas,31.4739,-102.42738,,,,FracFocus
Wahoo 20 5,42173341550000,Apache Corporation,Glasscock,Texas,31.82339,-101.53307,,,,FracFocus
EdnaHerndon#568 4H,42357330030000,Apache Corporation,Ochiltree,Texas,36.217439,-100.713039,,,,FracFocus
J.B. Tubb 61,42103028250000,Apache Corporation,Crane,Texas,31.458,-102.60781,,,,FracFocus
Books Ed 11 4,42173341420000,Apache Corporation,Glasscock,Texas,31.85747,-101.49039,,,,FracFocus
BU 146,42003406210000,Apache Corporation,Yoakum,Texas,32.262881,-102.51794,,,,FracFocus
Newell 12 2,42173341840000,Apache Corporation,Glasscock,Texas,31.965,-101.5199,,,,FracFocus
SRH 12 #1218 ?,42383371110000,Apache Corporation,Reagan,Texas,31.4575,-101.44506,,,,FracFocus
Roberts Unit #4317,42501311650000,Apache Corporation,Yoakum,Texas,33.008,-102.95247,,,,FracFocus
Hardy 18 2,42173339130000,Apache Corporation,Glasscock,Texas,31.853639,-101.46555,,,,FracFocus
Bivins-Lit 2802,42359303390000,Apache Corporation,Oldham,Texas,35.55378,-102.24462,,,,FracFocus
Xit Unit 208H,42079332310000,Apache Corporation,Cochran,Texas,33.49106,-102.8655,,,,FracFocus
Rogers 35 4,42461373430000,Apache Corporation,Upton,Texas,31.43216,-101.98161,,,,FracFocus
Mallet Unit #173,42079014520000,Apache Corporation,Cochran,Texas,33.458543,-102.60085,,,,FracFocus
Nix 16 4,42173336910000,Apache Corporation,Glasscock,Texas,31.83054,-101.51888,,,,FracFocus
Mallet Unit #207,42219028110000,Apache Corporation,Cochran,Texas,33.4631,-102.5781,,,,FracFocus
Srh `12` 1221,42383371120000,Apache Corporation,Reagan,Texas,31.44933,-101.45042,,,,FracFocus
UNIV 36A-1,42103330160000,Apache Corporation,Ector,Texas,31.46373,-102.42441,,,,FracFocus
Glass Walker 2,42173342380000,Apache Corporation,Glasscock,Texas,31.836642,-101.50023,,,,FracFocus
SIDNEY 1-2,42483320600000,Apache Corporation,Wheeler,Texas,35.435889,-100.095389,,,,FracFocus
Adams 26 5,42173342140000,Apache Corporation,Glasscock,Texas,31.814209,-101.48889,,,,FracFocus
Mack 8 - 2H,42173343220000,Apache Corporation,Glasscock,Texas,31.87,-101.51,,,,FracFocus
Musgrove 9-3,42227368050000,Apache Corporation,Howard,Texas,32.372,-101.367,,,,FracFocus
Glass 3 1,42173343140000,Apache Corporation,Glasscock,Texas,31.864052,-101.51765,,,,FracFocus
SRH 12 #1201,42383371780000,Apache Corporation,Reagan,Texas,31.457,-101.452,,,,FracFocus
Wheat 678 3H,42295337300000,Apache Corporation,Lipscomb,Texas,36.260536,-100.483017,,,,FracFocus
SRH 16 #1617,42383372220000,Apache Corporation,Reagan,Texas,31.458,-101.459,,,,FracFocus
Barracuda 45 1,42173337100000,Apache Corporation,Glasscock,Texas,31.89698,-101.44008,,,,FracFocus
Tubb J B `F` 38,42103358490000,Apache Corporation,Crane,Texas,31.43542,-102.60845,,,,FracFocus
UNIV 0-5,42103332810000,Apache Corporation,Crane,Texas,31.46484,-102.42037,,,,FracFocus
Dorado 18 2,42173336980000,Apache Corporation,Glasscock,Texas,31.82958,-101.55934,,,,FracFocus
His Blessing 35 3,42173342890000,Apache Corporation,Glasscock,Texas,31.90714,-101.51747,,,,FracFocus
University Lands 42 2H,42103358620000,Apache Corporation,Crane,Texas,31.45551,-102.39922,,,,FracFocus
Mallet Unit #1514,42079332360000,Apache Corporation,Hockley,Texas,33.461917,-102.60368,,,,FracFocus
Hall-Cowden 42 1,42461371890000,Apache Corporation,Upton,Texas,31.569814,-101.90296,,,,FracFocus
RU 3448,42501348810000,Apache Corporation,Ector,Texas,33.011578,-102.92618,,,,FracFocus
Xit Unit 207H,42079332140000,Apache Corporation,Cochran,Texas,33.50068,-102.78632,,,,FracFocus
Rogers 35 2,42461373850000,Apache Corporation,Upton,Texas,31.43375,-101.97233,,,,FracFocus
Stiles 3 19-3H,42483332310000,Apache Corporation,Wheeler,Texas,35.443511,-100.048756,,,,FracFocus
RU 2145,42501311760000,Apache Corporation,Ector,Texas,33.0265,-102.97432,,,,FracFocus
Cook 21 3,42173336840000,Apache Corporation,Glasscock,Texas,31.816846,-101.51172,,,,FracFocus
Brown 8059H,42483332620000,Apache Corporation,Wheeler,Texas,35.40155,-100.07262,,,,FracFocus
SRH 16 # 1618,42383373080000,Apache Corporation,Reagan,Texas,31.454,-101.456,,,,FracFocus
Brenda 8 2,42173343160000,Apache Corporation,Glasscock,Texas,31.838597,-101.54502,,,,FracFocus
Mallet Unit #1515,42219372020000,Apache Corporation,Hockley,Texas,33.446,-102.595,,,,FracFocus
Txl South Unit 904,42135386760000,Apache Corporation,Ector,Texas,31.85618,-102.71537,,,,FracFocus
SRH 17 #1709,42383371190000,Apache Corporation,Reagan,Texas,31.445,-101.47,,,,FracFocus
Mallet Unit #1516,42079332350000,Apache Corporation,Hockley,Texas,33.439183,-102.59683,,,,FracFocus
RM NOLL 4,42227034200000,Apache Corporation,Howard,Texas,32.50085,-101.3583,,,,FracFocus
Books E D 13 4,42173342440000,Apache Corporation,Glasscock,Texas,31.84278,-101.4675,,,,FracFocus
SRH 16 # 1620,42383373060000,Apache Corporation,Reagan,Texas,31.444,-101.474,,,,FracFocus
University Lands 19 1H,42103358550000,Apache Corporation,Crane,Texas,31.48391,-102.41509,,,,FracFocus
